n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,pca_top3_var,pca_entropy,pairwise_dist_mean,pairwise_dist_cv,pairwise_dist_p90,knn5_dist_mean,knn5_dist_cv,knn5_dist_p90,feature_sparsity,high_corr_frac,corr_dispersion,dataset_id
1552.0,27.0,7.0,1.2817170952124124,5.334154380780415,0.27387407311007705,0.9999999999995646,0.4444444444444444,0.3505404027985766,0.576579549956487,0.6808733611826105,6.982604074583715,0.33862204275271135,10.01554214023568,2.0668845120061468,0.4864613470230197,3.196203310439054,0.004033027873234059,0.05698005698005698,0.24770035520023959,44507
1600.0,28.0,2.0,4.101762262912933,48.92171508938827,0.08847199370934501,0.9999999999999997,0.7142857142857143,0.12597482856052925,0.31039959186137245,0.8942214732838777,6.966431598055489,0.35365655331219686,8.999304462181593,2.339046469913595,0.7895480907766634,4.208272759538627,0.002723214285714286,0.007936507936507936,0.1333299054196383,44227
1600.0,100.0,10.0,0.34804418354613026,0.5588897020221966,0.253561547065102,1.0,0.26,0.22965615801702582,0.5058215918477249,0.5975471073810624,13.80477171680765,0.21832282120343663,17.467980096791173,5.469293185745762,0.21898522138224988,7.012469368994403,0.0085125,0.017575757575757574,0.19444859489255611,44624
66986.0,54.0,4.0,1.5005166024405394,21.178141662289217,0.053688997618892946,1.0,0.7222222222222222,0.1401989342973812,0.27620175506474554,0.8895793852959228,10.064293589855188,0.2778659026724374,11.945283217415502,5.7576107697735655,0.1303766399414007,6.597123501795531,0.009603720401499042,0.012578616352201259,0.14730459787728353,41168
84.0,9.0,6.0,0.07131801969370073,1.1926495002949276,0.12526506547570657,0.5175210349333809,1.0,0.2101394500683724,0.5119075839087233,0.9581932260533743,4.168912285771635,0.21945717421961494,5.310232822877513,2.7631721750989557,0.16416109192880174,3.392223963641651,0.006613756613756613,0.0,0.09087392266300963,1465
200.0,10.0,2.0,0.11670009211484214,1.0654850050570115,0.11032170388175935,0.9433406002865036,0.8,0.24290956305560876,0.5114017305656319,0.9059019547000416,4.370264310563409,0.228966923313706,5.678039333498873,2.5446003477178585,0.10820435679413555,2.9160730973825837,0.006,0.022222222222222223,0.17902587054442037,830
1600.0,9.0,5.0,6.849333810651775,242.37138474684312,0.19604051195068237,0.9999510065778331,0.6666666666666666,0.3527771172562642,0.672988906930772,0.7642009119536783,3.3118115073747703,0.8941855833797919,6.1663638323779795,0.5223136350521626,2.933041133863226,0.7363450467222721,0.083125,0.08333333333333333,0.27348186158057974,44744
1600.0,100.0,10.0,3.6621941911954834,77.89869185138049,0.21697841196031722,1.0,0.61,0.25136746353182954,0.446644784482659,0.7188655302482361,13.376514264980182,0.3393244100921682,17.93496355312817,6.172666528089442,0.5124320571460562,9.118825712640001,0.00354375,0.006868686868686869,0.1955808672994093,44701
36000.0,27.0,2.0,3.468241026372896,110.44708096600776,0.062264476199514036,1.0,0.6666666666666666,0.10930848929264475,0.2753812696106908,0.8891537303553991,7.0823202331463735,0.2755756546573625,8.58632295112042,1.639599371220365,0.5118258465365179,2.4833548244452963,0.006124485596707819,0.017094017094017096,0.13669459405124498,46553
248.0,8.0,9.0,0.2706492599605751,0.9171433460202617,0.7102259787287476,0.9999999950521947,0.375,0.8094243343322923,0.9925035876585971,0.3068555480321213,3.519944590459635,0.5446018341761067,5.880173501017445,0.4707089933058879,0.38774567807294386,0.7049768054574934,0.0015120967741935483,0.6071428571428571,0.35069937578946064,694
