dataset_id,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,md12,md13,md14,md15,md16,md17,md18,md19
44507,0.3213933387226487,0.012512097569508461,0.11185748776683867,0.9006155142043675,2.2062560918334375,0.012810989916714857,0.08777426602059198,0.368278363809182,0.3312927476121159,0.13594820767446344,0.04416339308859599,0.011680193024786137,0.005384786669059536,0.0021502588951590926,0.0005167932893311265,0.7385549396132858,0.21370150285482595,0.035269064853403524,0.012474492678484782
44227,0.159147195904503,0.0032396132044596373,0.05691760012913086,4.629206690465868,49.75033194465287,0.07008989993746091,0.8091072545340838,0.1046896497811132,0.008997029393370857,0.004509068167604753,0.00022826766729205754,0.0011303939962476548,3.1269543464665416e-06,7.582864290181363e-05,0.0011694809255784866,0.8523647592245153,0.11948874296435272,0.014939806128830519,0.013206691682301439
44624,0.5218244834369304,0.013034101391619616,0.11416698906259908,-0.36098923353764395,0.2785818082410434,2.188868042526579e-05,0.006170262664165103,0.03633599124452783,0.09405644152595372,0.2570387742338962,0.35998827392120075,0.19932301438399,0.04336851156973108,0.003571763602251407,0.00012507817385866166,0.7003525641025641,0.24579971857410882,0.05024312070043777,0.003604596622889306
41168,0.09177024332374956,0.0011000378058885856,0.033166817843871994,5.035951862292128,61.29078765708735,0.701571274254851,0.2882873374674935,0.006259571914382877,0.0030486097219443887,0.00043040608121624324,5.201040208041608e-06,0.00018571714342868574,0.00021172234446889377,0.0,1.6003200640128025e-07,0.8433325865173035,0.13276999399879977,0.012233246649329866,0.011664172834566913
1465,0.5781094301787464,0.016096063441116363,0.12687026224106404,-0.17595868190775216,0.2187200454555822,0.00028686173264486515,0.0034423407917383822,0.016924842226047045,0.055364314400458976,0.18818129661503155,0.30091795754446354,0.270223752151463,0.1267928858290304,0.03413654618473896,0.0037292025243832474,0.6924842226047045,0.2544463568559954,0.04905335628227195,0.004016064257028112
830,0.4815666819605822,0.018755268658631197,0.1369498764462064,0.15774685045991005,-0.08515834387449583,0.0006030150753768845,0.014371859296482412,0.07608040201005026,0.19261306532663316,0.28,0.2435175879396985,0.13180904522613066,0.04814070351758794,0.011105527638190955,0.0017587939698492463,0.6791457286432161,0.2764321608040201,0.04206030150753769,0.0023618090452261304
44744,0.06338896889659192,0.0028746672812559187,0.05361592376576122,5.584188015137228,56.63935238425502,0.8480300187617261,0.14202235772357724,0.0038782051282051284,0.002317073170731707,0.0010232958098811758,0.0002274859287054409,0.0011882426516572858,0.0013094121325828642,1.5634771732332708e-06,2.345215759849906e-06,0.8766205440900563,0.11063946216385241,0.003603814884302689,0.009136178861788618
44701,0.19365461588455252,0.005311260778074272,0.0728783971974842,2.209130615003503,12.064163032345844,0.05351782363977486,0.5209576297686054,0.3781277360850532,0.033105065666041274,0.00700046904315197,0.001942620387742339,0.004071294559099437,0.0011546278924327706,0.00011804252657911194,4.690431519699812e-06,0.7827321763602252,0.18961147592245153,0.01465603502188868,0.013000312695434647
46553,0.21705378334957298,0.003855360069254192,0.06209154587586133,3.4896391058174956,21.412019974658826,0.004629485897179436,0.3793205041008202,0.5660682536507301,0.036763432686537305,0.003215283056611322,0.0004952990598119624,0.009028525705141028,0.0004698539707941588,6.561312262452491e-06,2.8005601120224045e-06,0.8588468893778756,0.10989677935587118,0.018214042808561714,0.013042288457691538
694,0.3493479231308188,0.037624274471267656,0.19396977721095535,0.5495859227471098,-0.008724683726035742,0.0811675590962518,0.1801292934569675,0.20425754211832312,0.1315136476426799,0.18842235862609377,0.13059945148230379,0.03715554394671542,0.01328849418832441,0.027882982891471855,0.005583126550868486,0.6811740890688259,0.2782421313830482,0.03695964476949197,0.0036241347786339297
44232,0.4330367415248668,0.00687744796558515,0.08293038023297102,-0.6757520293731282,3.746743327062669,0.008218283463924142,0.009911483499392672,0.009412109124842185,0.2945264458703794,0.4968932664685871,0.15930858887329713,0.020154569599247843,0.001502064071364933,7.00925700468269e-05,3.096458917731309e-06,0.7650032583192703,0.1922470298625313,0.02281386481704854,0.019935847001149913
42544,0.17151829288460402,0.010518743276735552,0.10256092470690556,3.1891481618321915,17.47851758095723,0.1965930430117142,0.51707949566306,0.22748815165876776,0.033667173388178484,0.011937762675489582,0.003800411338639006,0.0,0.0012519002056693195,0.007198426182598587,0.0009836358758830367,0.8439148707860145,0.12840919252436733,0.011758919788965394,0.015917016900652777
46745,0.5718755444172369,0.035411856717196315,0.18818038345480198,-1.0925673482332627,2.197498110161513,0.05546349269853971,0.0,0.0,0.04685881176235247,0.1909257851570314,0.25541836367273457,0.23923328665733146,0.14006425285057011,0.04333834766953391,0.02869765953190638,0.7869085017003401,0.15184300860172034,0.04569833966793359,0.015550150030006002
1044,0.24692960223408633,0.008234595946805319,0.09074467448178608,1.7461857295000183,5.125863378264809,0.010658131626325265,0.2848519303860772,0.5236848969793959,0.11691650330066013,0.04043392678535707,0.014666933386677336,0.006356071214242849,0.0020499299859971995,0.0003749549909981996,6.721344268853771e-06,0.7889853970794158,0.15970330066013202,0.0320128025605121,0.019298499699939988
46560,0.26771527040256954,0.006355849105490707,0.07972357935699266,2.00446742295878,5.504451399921356,0.0002702140428085617,0.12374442888577715,0.6775041408281657,0.12803504700940188,0.04090754150830166,0.022798959791958392,0.005862052410482097,0.0008446489297859571,3.128625725145029e-05,1.6803360672134427e-06,0.8227931186237247,0.11820756151230247,0.03175763152630526,0.027241688337667533
