dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,rand_0,rand_1,rand_2,rand_3,rand_4,rand_5,rand_6,rand_7
44507,0.5064,0.3024,0.4789,0.5294,0.3293,0.425,gmm,0.788,0.30471707975443135,-1.0399841062404955,0.7504511958064572,0.9405647163912139,-1.9510351886538364,-1.302179506862318,0.12784040316728537,-0.3162425923435822
44227,0.6623,0.7086,0.6589,0.6623,0.6689,0.7285,dictlearn,0.755,-0.016801157504288795,-0.85304392757358,0.8793979748628286,0.7777919354289483,0.06603069756121605,1.1272412069680329,0.4675093422520456,-0.8592924628832382
44624,0.6813,0.1062,0.6684,0.6269,0.6865,0.5881,autoenc,0.965,0.36875078408249884,-0.9588826008289989,0.8784503013072725,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414,1.2225413386740303,-0.15452948206880215
41168,0.7388,0.4932,,0.5904,0.6531,0.5662,kmeans,0.5069,-0.4283278221631072,-0.3521335504882296,0.5323091855533487,0.36544406436407834,0.4127326115959884,0.43082100300788273,2.1416476008704612,-0.4064150163846156
1465,0.7801,0.4255,0.8652,0.617,0.6738,0.227,agg,0.3917,-0.5122427290715373,-0.8137727282478777,0.6159794225754956,1.1289722927208916,-0.11394745765487507,-0.840156476962528,-0.8244812156912396,0.6505927878247011
830,0.9798,0.5294,0.9467,0.9632,0.9301,0.4026,kmeans,0.9444,0.7432541712034423,0.543154268305195,-0.6655097072886943,0.23216132306671977,0.11668580914072822,0.21868859672901295,0.8714287779481898,0.22359554877468227
44744,0.5119,0.5437,0.5418,0.6762,0.5787,0.503,gmm,1.0,0.6789135630718949,0.06757906948889146,0.28911939868998415,0.6312882258385404,-1.4571558198556664,-0.31967121635730134,-0.4703726542927955,-0.6388778482433419
44701,0.6012,0.1208,0.6012,0.4985,0.4834,0.5287,kmeans,0.8275,-0.27514225122668373,1.4949413112343959,-0.8658311156932432,0.9682783545914808,-1.6828697716158048,-0.33488502998577485,0.1627530651050056,0.5862223313592781
46553,0.9536,0.5887,,0.9536,0.6116,0.5767,kmeans,0.8685,0.711226579792855,0.7933472351999252,-0.3487250722484376,-0.46235179266456716,0.8579758812571538,-0.1913043248816149,-1.2756863233379219,-1.1332872140034806
694,0.4022,0.5413,0.4152,0.6152,0.4304,0.3725,gmm,0.9127,-0.9194522860016113,0.49716074405376404,0.14242573607056525,0.6904853540677682,-0.42725264633653426,0.15853969107671423,0.6255903939673367,-0.3093465397202384
44232,0.7242,0.8083,0.8107,1.0142,0.7851,,gmm,0.6186,0.45677523755741145,-0.6619259410666513,-0.3630538465650718,-0.3817378939983291,-1.1958396455890397,0.4869724807855818,-0.46940234020272387,0.01249411872768743
42544,0.5474,0.1471,0.4493,0.5392,0.4657,0.4493,kmeans,0.85,0.48074665890590895,0.4465311760299441,0.6653851089727862,-0.09848548450942361,-0.42329831204415375,-0.07971821090639905,-1.6873344339580298,-1.4471124724230873
46745,0.5008,0.4348,,0.5603,0.6688,0.3778,autoenc,1.0,-1.3226996123544024,-0.9972468276014818,0.3997742267234366,-0.9054790553600608,-0.3781625540393897,1.2992282977860654,-0.35626397106142593,0.7375155684670865
1044,0.5557,0.488,0.5748,0.5984,0.5517,0.4895,gmm,0.692,-0.933617680009877,-0.20543755786763002,-0.9500220549105812,-0.3390330759005625,0.8403081374573955,-1.7273204231923487,0.43442364354585733,0.2377356023322779
46560,0.6021,0.4564,,0.4891,0.458,0.4568,kmeans,0.7298,-0.5941499556967944,-1.4460578543884546,0.07212950771386951,-0.5294927090638024,0.23267621135470395,0.02185214552344288,1.6017788913209154,-0.23935562747302427
46331,0.3503,0.2217,0.2893,0.3341,0.2567,0.2366,kmeans,0.8593,-1.023497492621865,0.17927563495631615,0.21999668397176517,1.3591875752404365,0.8351112459145785,0.35687105914950934,1.4633028912195618,-1.188763054322851
40994,1.3333,1.0,0.9798,1.0303,0.9192,0.9899,kmeans,0.5,-0.6397515327497477,-0.9265759414055249,-0.38980980315576796,-1.3766861475563088,0.6351509468144043,-0.22222269709877338,-1.4708062945026579,-1.0155790812075416
60,0.5913,0.5913,0.6209,0.6019,0.5997,0.4156,agg,0.8554,0.3135138474501953,0.8381265678943811,1.9967308916917865,2.9138624660073296,0.4144094332759964,-0.9895381200318641,-2.132046280731309,0.2677114623438358
44463,0.6489,0.6426,0.7022,0.6144,0.6771,0.6865,agg,0.7975,-0.812941095310326,-0.41535726017968533,-0.6120967990598081,-0.14079088641638526,1.0659802307876436,0.15704856744534462,-0.1586348370386883,-1.0356537528258116
